Time [h],Fluorescence Intensity [a.u.]
0:00:00,2661
0:05:00,2847
0:10:00,3074
0:15:00,3351
0:20:00,3520
0:25:00,3698
0:30:00,3786
0:35:00,3846
0:40:00,3923
0:45:00,3889
0:50:00,3720
0:55:00,3602
1:00:00,3490
1:05:00,3162
1:10:00,3060
1:15:00,2855
1:20:00,2766
1:25:00,2597
1:30:00,2362
1:35:00,2276
1:40:00,2178
1:45:00,2013
1:50:00,2043
1:55:00,1994
2:00:00,1884
2:05:00,1925
2:10:00,1866
2:15:00,1831
2:20:00,1827
2:25:00,1838
2:30:00,1749
2:35:00,1725
2:40:00,1687
2:45:00,1720
2:50:00,1660
2:55:00,1692
3:00:00,1665
3:05:00,1613
3:10:00,1642
3:15:00,1617
3:20:00,1631
3:25:00,1495
3:30:00,1562
3:35:00,1585
3:40:00,1608
3:45:00,1519
3:50:00,1595
3:55:00,1502
4:00:00,1493
4:05:00,1528
4:10:00,1476
4:15:00,1514
4:20:00,1480
4:25:00,1481
4:30:00,1481
4:35:00,1453
4:40:00,1463
4:45:00,1398
4:50:00,1457
4:55:00,1436
5:00:00,1429
5:05:00,1453
5:10:00,1435
5:15:00,1398
5:20:00,1428
5:25:00,1392
5:30:00,1485
5:35:00,1388
5:40:00,1346
5:45:00,1392
5:50:00,1401
5:55:00,1335
6:00:00,1421
6:05:00,1391
6:10:00,1378
6:15:00,1435
6:20:00,1358
6:25:00,1354
6:30:00,1385
6:35:00,1351
6:40:00,1283
6:45:00,1257
6:50:00,1280
6:55:00,1234
7:00:00,1291
7:05:00,1247
7:10:00,1242
7:15:00,1232
7:20:00,1171
7:25:00,1181
7:30:00,1171
7:35:00,1213
7:40:00,1175
7:45:00,1173
7:50:00,1144
7:55:00,1155
8:00:00,1174
8:05:00,1136
8:10:00,1144
8:15:00,1182
8:20:00,1179
8:25:00,1180
8:30:00,1202
8:35:00,1141
8:40:00,1184
8:45:00,1145
8:50:00,1195
8:55:00,1172
9:00:00,1167
9:05:00,1176
9:10:00,1181
9:15:00,1141
9:20:00,1206
9:25:00,1162
9:30:00,1161
9:35:00,1136
9:40:00,1198
9:45:00,1174
9:50:00,1156
9:55:00,1185
10:00:00,1213
10:05:00,1198
10:10:00,1121
10:15:00,1125
10:20:00,1186
10:25:00,1189
10:30:00,1169
10:35:00,1161
10:40:00,1157
10:45:00,1222
10:50:00,1164
10:55:00,1203
11:00:00,1182
11:05:00,1183
11:10:00,1181
11:15:00,1164
11:20:00,1213
11:25:00,1206
11:30:00,1185
11:35:00,1200
11:40:00,1162
11:45:00,1166
11:50:00,1169
11:55:00,1204
12:00:00,1181
12:05:00,1132
12:10:00,1148
12:15:00,1171
12:20:00,1179
12:25:00,1120
12:30:00,1128
12:35:00,1059
12:40:00,1127
12:45:00,1023
12:50:00,1054
12:55:00,1047
13:00:00,1119
13:05:00,1043
13:10:00,1073
13:15:00,1017
13:20:00,1017
13:25:00,1073
13:30:00,1092
13:35:00,1044
13:40:00,1038
13:45:00,1041
13:50:00,1020
13:55:00,1050
14:00:00,1043
14:05:00,1038
14:10:00,1100
14:15:00,1037
14:20:00,1064
14:25:00,1073
14:30:00,1014
14:35:00,1069
14:40:00,1059
14:45:00,1011
14:50:00,1027
14:55:00,1021
15:00:00,1029
